id,name,bl_initials,practice_id/id,billable_ok
solucom_import_data.unite10,ASIL-RH & ADMINISTRATION,ASIL-RH&ADM,solucom_import_data.practice3,0
solucom_import_data.unite100,S&RM,S&RM,solucom_import_data.practice13,1
solucom_import_data.unite101,T&I,T&I,solucom_import_data.practice16,1
solucom_import_data.unite102,TSI2,TSI2,solucom_import_data.practice18,1
solucom_import_data.unite103,TSIP,TSIP,solucom_import_data.practice17,1
solucom_import_data.unite11,ASIT-FINANCE,ASIT-FIN,solucom_import_data.practice4,0
solucom_import_data.unite12,ASIT-IA,ASIT-IA,solucom_import_data.practice4,0
solucom_import_data.unite13,ASIT-RH & ADMINISTRATION,ASIT-RH&ADM,solucom_import_data.practice4,0
solucom_import_data.unite14,SECURITE,ASSI,solucom_import_data.practice13,1
solucom_import_data.unite15,MGT DE LA SECURITE,ASSI-MDS,solucom_import_data.practice13,1
solucom_import_data.unite16,PROTECTION INFORMATION,ASSI-PI,solucom_import_data.practice13,1
solucom_import_data.unite17,ASSURANCE,ASSU,solucom_import_data.practice2,1
solucom_import_data.unite18,NEWARCH_OLD,BL-NEW,solucom_import_data.practice5,1
solucom_import_data.unite19,SOLUCOMDV_OLD,BL-SDV,solucom_import_data.practice5,1
solucom_import_data.unite2,ALT-RH & ADMINISTRATION,ALT-RH&ADM,solucom_import_data.practice2,0
solucom_import_data.unite20,CDT_OLD,CDT,solucom_import_data.practice14,1
solucom_import_data.unite21,CDT S,CDT S,solucom_import_data.practice14,1
solucom_import_data.unite22,CDTS,CDTS,solucom_import_data.practice14,1
solucom_import_data.unite23,COMMUNICATION,COMM,solucom_import_data.practice12,0
solucom_import_data.unite24,DATACENTER&DESK SERV_OLD,D2S,solucom_import_data.practice5,1
solucom_import_data.unite25,Datacenter & Cloud Serv,DCS,solucom_import_data.practice5,1
solucom_import_data.unite26,DIRECTION,DIR,solucom_import_data.practice12,0
solucom_import_data.unite27,DIRCO,DIRCO,solucom_import_data.practice12,0
solucom_import_data.unite28,Enterprise & Project Arch,EPA,solucom_import_data.practice5,1
solucom_import_data.unite29,EVEHO ACTUARIAT,EVA,solucom_import_data.practice6,1
solucom_import_data.unite3,ASI-DIRECTION,ASI-DIR,solucom_import_data.practice5,0
solucom_import_data.unite30,EVEHO CONSEIL,EVC,solucom_import_data.practice6,1
solucom_import_data.unite31,EVE-FINANCE,EVE-FIN,solucom_import_data.practice6,0
solucom_import_data.unite32,EVE-RH & ADMINISTRATION,EVE-RH&ADM,solucom_import_data.practice6,0
